[RESULT]
회차,상 승,상 승,상 승,상 승,하 강,하 강,하 강,하 강,     
회차,Torque (L),Kurtosis (L),Torque (R),Kurtosis (R),Torque (L),Kurtosis (L),Torque (R),Kurtosis (R),결 과
2,1.049,2.128,0.922,2.540,-0.013,2.470,0.021,2.616,OK

[TQ_DATA]
No,L-UP,R-UP,L-DN,R-DN
1,0.52734375,0.41015625,-0.009765625,0.25390625
2,0.458984375,0.439453125,-0.078125,-0.009765625
3,0.546875,0.46875,-0.029296875,-0.029296875
4,0.625,0.41015625,-0.009765625,0.1171875
5,0.44921875,0.390625,-0.029296875,-0.0390625
6,0.498046875,0.439453125,-0.078125,0.05859375
7,0.5859375,0.5078125,0.029296875,0.09765625
8,0.546875,0.4296875,0,0.01953125
9,0.556640625,0.498046875,-0.05859375,0
10,0.556640625,0.458984375,0.0390625,-0.09765625
11,0.634765625,0.4296875,-0.087890625,0
12,0.52734375,0.478515625,-0.0390625,0.029296875
13,0.546875,0.400390625,0.009765625,-0.01953125
14,0.64453125,0.4296875,-0.048828125,0.029296875
15,0.634765625,0.44921875,-0.068359375,-0.009765625
16,0.5078125,0.44921875,-0.048828125,-0.029296875
17,0.556640625,0.44921875,-0.029296875,-0.068359375
18,0.546875,0.400390625,0.078125,-0.01953125
19,0.537109375,0.4296875,-0.029296875,0.0390625
20,0.60546875,0.41015625,-0.009765625,-0.01953125
21,0.634765625,0.419921875,0.185546875,-0.01953125
22,0.546875,0.439453125,-0.01953125,0
23,0.546875,0.400390625,-0.048828125,0.048828125
24,0.576171875,0.46875,-0.1953125,0
25,0.576171875,0.419921875,0.01953125,0.048828125
26,0.6640625,0.439453125,-0.01953125,0.029296875
27,0.37109375,0.478515625,-0.1171875,-0.029296875
28,0.5859375,0.2734375,-0.05859375,0.078125
29,0.537109375,0.458984375,0.068359375,-0.009765625
30,0.4296875,0.46875,-0.166015625,0.029296875
31,0.56640625,0.185546875,-0.029296875,-0.048828125
32,0.5078125,0.439453125,0.009765625,0.029296875
33,0.37109375,0.322265625,0.078125,0
34,0.5078125,0.48828125,0.009765625,-0.09765625
35,0.556640625,0.400390625,-0.0390625,0
36,0.908203125,0.439453125,0.068359375,-0.01953125
37,0.576171875,0.439453125,-0.029296875,-0.185546875
38,0.5859375,0.4296875,-0.01953125,0
39,0.95703125,0.439453125,-0.048828125,0.0390625
40,0.556640625,0.439453125,0.0390625,0.15625
41,0.595703125,0.439453125,-0.009765625,0.17578125
42,0.37109375,0.37109375,-0.09765625,-0.0390625
43,0.537109375,0.546875,-0.078125,0.068359375
44,0.576171875,0.439453125,0.009765625,0.17578125
45,0.4296875,0.458984375,-0.048828125,-0.0390625
46,0.64453125,0.546875,-0.078125,-0.029296875
47,0.615234375,0.439453125,-0.01953125,0.09765625
48,0.390625,0.458984375,-0.01953125,-0.0390625
49,0.52734375,0.390625,0.146484375,0.078125
50,0.52734375,0.380859375,-0.01953125,-0.13671875
51,0.68359375,0.419921875,0.009765625,0.01953125
52,0.546875,0.41015625,0.0390625,-0.009765625
53,0.48828125,0.33203125,-0.05859375,-0.09765625
54,0.693359375,0.439453125,0.009765625,0.029296875
55,0.546875,0.2734375,0.068359375,-0.029296875
56,0.56640625,0.4296875,0,0.0390625
57,0.46875,0.439453125,-0.0390625,0
58,0.537109375,0.498046875,0.009765625,-0.05859375
59,0.60546875,0.458984375,0.009765625,0.09765625
60,0.498046875,0.41015625,0.0390625,-0.01953125
61,0.5859375,0.498046875,0.05859375,0.029296875
62,0.576171875,0.41015625,-0.078125,0.029296875
63,0.478515625,0.46875,0.009765625,0.0390625
64,0.546875,0.400390625,0,0.01953125
65,0.48828125,0.5078125,-0.01953125,0.029296875
66,0.615234375,0.419921875,-0.01953125,0.01953125
67,0.537109375,0.478515625,-0.048828125,0.009765625
68,0.60546875,0.41015625,-0.009765625,0.01953125
69,0.576171875,0.400390625,-0.068359375,-0.0390625
70,0.576171875,0.41015625,-0.078125,-0.029296875
71,0.56640625,0.390625,0.009765625,0.107421875
72,0.556640625,0.44921875,-0.01953125,0
73,0.576171875,0.439453125,0.01953125,0.01953125
74,0.56640625,0.5078125,-0.0390625,0.126953125
75,0.537109375,0.390625,-0.087890625,-0.009765625
76,0.5859375,0.419921875,-0.009765625,-0.0390625
77,0.615234375,0.458984375,0.0390625,0.126953125
78,0.5859375,0.380859375,-0.029296875,0.05859375
79,0.546875,0.41015625,0.05859375,-0.05859375
80,0.634765625,0.400390625,-0.05859375,0.029296875
81,0.546875,0.439453125,0.029296875,-0.009765625
82,0.5078125,0.439453125,-0.05859375,0
83,0.52734375,0.33203125,-0.0390625,-0.01953125
84,0.5859375,0.41015625,0.009765625,0
85,0.5859375,0.44921875,-0.048828125,0.0390625
86,0.52734375,0.29296875,0.01953125,0.107421875
87,0.546875,0.419921875,-0.048828125,0
88,0.56640625,0.478515625,-0.166015625,0.01953125
89,0.52734375,0.595703125,-0.1171875,0
90,0.498046875,0.4296875,-0.0390625,-0.009765625
91,0.478515625,0.390625,-0.15625,-0.0390625
92,0.44921875,0.673828125,-0.1953125,0.05859375
93,0.498046875,0.419921875,-0.0390625,-0.05859375
94,0.44921875,0.439453125,0.13671875,-0.01953125
95,0.556640625,0.556640625,-0.13671875,-0.13671875
96,0.615234375,0.4296875,-0.09765625,-0.05859375
97,0.908203125,0.419921875,0.21484375,0.0390625
98,0.576171875,0.341796875,0.244140625,-0.068359375
99,0.5859375,0.4296875,0.009765625,-0.126953125
100,0.888671875,0.390625,0.185546875,0.009765625
101,0.546875,0.302734375,0.13671875,0.126953125
102,0.556640625,0.439453125,0.009765625,-0.224609375
103,0.869140625,0.478515625,-0.17578125,-0.009765625
104,0.5859375,0.576171875,-0.185546875,0.05859375
105,0.537109375,0.439453125,-0.029296875,0.302734375
106,0.419921875,0.390625,-0.09765625,0
107,0.56640625,0.517578125,-0.3125,0.029296875
108,0.56640625,0.419921875,0.009765625,0.224609375
109,0.400390625,0.458984375,0.029296875,-0.029296875
110,0.5859375,0.556640625,-0.2734375,-0.078125
111,0.576171875,0.4296875,0.0390625,-0.21484375
112,0.771484375,0.44921875,0.068359375,-0.009765625
113,0.576171875,0.322265625,0.166015625,0.009765625
114,0.556640625,0.390625,0.01953125,-0.185546875
115,0.673828125,0.41015625,-0.05859375,-0.029296875
116,0.576171875,0.3515625,0.107421875,-0.05859375
117,0.56640625,0.46875,0.009765625,-0.15625
118,0.72265625,0.439453125,0.029296875,-0.078125
119,0.576171875,0.537109375,-0.09765625,-0.087890625
120,0.5078125,0.419921875,-0.009765625,0.126953125
121,0.419921875,0.41015625,-0.0390625,0.01953125
