[RESULT]
회차,상 승,상 승,상 승,상 승,하 강,하 강,하 강,하 강,     
회차,Torque (L),Kurtosis (L),Torque (R),Kurtosis (R),Torque (L),Kurtosis (L),Torque (R),Kurtosis (R),결 과
2,1.736,2.777,1.596,3.107,-0.001,2.428,0.006,2.683,NG

[TQ_DATA]
No,L-UP,R-UP,L-DN,R-DN
1,1.064453125,0.771484375,-0.068359375,0.048828125
2,1.025390625,0.83984375,-0.029296875,-0.048828125
3,1.09375,0.869140625,-0.029296875,0
4,1.083984375,0.9375,-0.01953125,0.048828125
5,1.0546875,0.888671875,-0.01953125,-0.009765625
6,0.99609375,0.849609375,-0.01953125,0
7,1.09375,0.888671875,-0.01953125,0
8,1.0546875,0.869140625,0.068359375,-0.009765625
9,0.99609375,0.83984375,0.048828125,0.068359375
10,1.09375,0.908203125,0.009765625,-0.068359375
11,1.025390625,0.888671875,0.01953125,-0.009765625
12,0.99609375,0.87890625,-0.009765625,0.029296875
13,1.083984375,0.830078125,-0.01953125,0.009765625
14,1.064453125,0.888671875,0,0.09765625
15,0.9765625,0.927734375,0.107421875,0.146484375
16,1.03515625,0.8984375,-0.0390625,-0.068359375
17,1.03515625,0.908203125,0.048828125,-0.0390625
18,1.044921875,0.908203125,-0.0390625,0.029296875
19,1.03515625,0.869140625,-0.068359375,0.009765625
20,1.044921875,0.87890625,0.009765625,0.009765625
21,1.11328125,0.888671875,0.01953125,0.1171875
22,1.005859375,0.8984375,0.01953125,0.0390625
23,1.07421875,0.8984375,-0.009765625,-0.05859375
24,1.103515625,0.908203125,0,-0.1171875
25,0.9765625,0.888671875,0,0.029296875
26,1.2109375,0.91796875,0.01953125,-0.01953125
27,1.1328125,0.888671875,0.009765625,-0.1953125
28,1.07421875,0.908203125,-0.009765625,-0.029296875
29,1.083984375,0.859375,0.078125,0.087890625
30,1.0546875,0.87890625,-0.009765625,0.21484375
31,1.064453125,0.859375,-0.009765625,0.048828125
32,0.927734375,0.859375,-0.068359375,0.13671875
33,0.99609375,0.95703125,-0.009765625,0.05859375
34,1.03515625,0.908203125,-0.029296875,-0.078125
35,0.99609375,0.83984375,-0.087890625,-0.15625
36,1.0546875,1.07421875,-0.0390625,0.341796875
37,0.927734375,0.927734375,-0.029296875,-0.01953125
38,0.91796875,0.95703125,0.01953125,-0.13671875
39,1.0546875,0.703125,0.029296875,-0.13671875
40,0.849609375,0.947265625,0.09765625,0
41,1.064453125,0.87890625,0.234375,-0.05859375
42,1.044921875,0.830078125,0,-0.15625
43,0.849609375,0.8203125,-0.1953125,0.009765625
44,1.03515625,0.869140625,0.25390625,0.078125
45,1.03515625,0.8203125,0,-0.029296875
46,1.1328125,0.91796875,-0.224609375,0.009765625
47,1.005859375,0.869140625,-0.205078125,0.17578125
48,1.044921875,0.80078125,-0.01953125,0.009765625
49,1.103515625,0.859375,-0.185546875,0.078125
50,1.07421875,0.888671875,-0.078125,-0.068359375
51,1.025390625,0.849609375,-0.01953125,0.09765625
52,0.9375,0.8203125,0.146484375,0.078125
53,1.11328125,0.986328125,0.048828125,-0.078125
54,1.044921875,0.908203125,-0.0390625,-0.029296875
55,0.908203125,0.87890625,0.1171875,-0.009765625
56,0.9765625,0.986328125,-0.01953125,-0.15625
57,0.986328125,0.9765625,0.029296875,0.078125
58,0.9765625,0.83984375,-0.048828125,-0.029296875
59,0.9765625,0.712890625,0.048828125,0.05859375
60,0.9765625,0.947265625,0,-0.048828125
61,1.064453125,0.8984375,-0.09765625,-0.048828125
62,1.025390625,0.7421875,0.01953125,0.166015625
63,0.986328125,0.8203125,-0.009765625,-0.01953125
64,1.103515625,0.87890625,-0.1171875,0.029296875
65,1.0546875,0.7421875,-0.009765625,-0.068359375
66,1.07421875,0.8203125,-0.009765625,-0.01953125
67,0.9375,0.869140625,0.0390625,0.009765625
68,1.025390625,0.986328125,0.01953125,-0.048828125
69,1.025390625,0.869140625,-0.009765625,-0.048828125
70,0.966796875,0.888671875,0.048828125,0
71,1.123046875,0.947265625,-0.029296875,-0.009765625
72,1.03515625,0.8984375,-0.048828125,0
73,0.99609375,0.908203125,-0.048828125,-0.0390625
74,1.025390625,0.859375,0.029296875,-0.009765625
75,1.005859375,0.859375,0.009765625,0.068359375
76,1.025390625,0.888671875,0.009765625,0
77,1.005859375,0.849609375,-0.01953125,-0.009765625
78,1.044921875,0.869140625,0.068359375,0.1171875
79,1.044921875,0.7421875,-0.048828125,-0.01953125
80,1.064453125,0.8203125,-0.048828125,0.048828125
81,1.044921875,0.9375,-0.068359375,0.029296875
82,1.044921875,0.810546875,-0.048828125,0
