[RESULT]
회차,상 승,상 승,상 승,상 승,하 강,하 강,하 강,하 강,     
회차,Torque (L),Kurtosis (L),Torque (R),Kurtosis (R),Torque (L),Kurtosis (L),Torque (R),Kurtosis (R),결 과
9,1.797,2.103,1.515,3.049,0.012,3.079,0.040,3.655,NG

[TQ_DATA]
No,L-UP,R-UP,L-DN,R-DN
1,1.09375,0.908203125,0.068359375,0.048828125
2,0.9765625,0.83984375,-0.126953125,0.009765625
3,0.9765625,0.888671875,0,0.068359375
4,1.015625,0.95703125,-0.048828125,-0.09765625
5,0.9765625,0.8984375,-0.166015625,0.0390625
6,0.986328125,0.83984375,0.029296875,0.087890625
7,1.025390625,0.908203125,0.107421875,0.0390625
8,0.99609375,0.830078125,-0.009765625,-0.009765625
9,0.9765625,0.888671875,0.029296875,-0.029296875
10,0.9765625,0.95703125,-0.01953125,0.029296875
11,0.966796875,0.908203125,0,0.0390625
12,0.95703125,0.888671875,-0.068359375,0.09765625
13,1.015625,0.849609375,-0.107421875,-0.0390625
14,1.005859375,0.8984375,0,0.078125
15,0.99609375,0.87890625,0.0390625,0
16,0.927734375,0.927734375,-0.087890625,-0.009765625
17,1.025390625,0.95703125,0.029296875,0.078125
18,1.005859375,0.859375,0.01953125,0
19,0.91796875,0.859375,-0.185546875,0.0390625
20,1.005859375,0.830078125,0,0.01953125
21,1.025390625,0.888671875,-0.01953125,0
22,0.927734375,0.9375,0.078125,0.048828125
23,0.947265625,0.849609375,-0.0390625,-0.029296875
24,0.8984375,0.869140625,-0.068359375,0.009765625
25,0.947265625,0.91796875,0.078125,-0.01953125
26,1.0546875,0.8984375,-0.0390625,-0.107421875
27,0.9765625,0.927734375,0.01953125,0.01953125
28,0.95703125,0.927734375,0.09765625,-0.009765625
29,0.95703125,0.888671875,-0.01953125,0.048828125
30,0.966796875,0.8203125,0.0390625,0.05859375
31,0.966796875,0.859375,-0.087890625,-0.087890625
32,1.015625,0.908203125,-0.09765625,0.009765625
33,0.888671875,0.634765625,-0.146484375,0.0390625
34,1.123046875,0.830078125,-0.078125,0.048828125
35,0.947265625,0.78125,0.009765625,0.078125
36,1.005859375,0.888671875,-0.166015625,0.068359375
37,1.181640625,0.849609375,0.01953125,0.01953125
38,0.966796875,0.888671875,0.009765625,0.05859375
39,0.986328125,0.888671875,-0.224609375,0.009765625
40,1.064453125,0.830078125,0.029296875,-0.05859375
41,0.91796875,0.9375,0.078125,0.0390625
42,1.005859375,0.947265625,0.302734375,0.01953125
43,0.947265625,0.869140625,-0.029296875,-0.09765625
44,1.083984375,0.91796875,0,0
45,0.986328125,0.64453125,0.29296875,0.029296875
46,0.8984375,0.87890625,-0.01953125,-0.05859375
47,1.09375,0.927734375,-0.01953125,-0.029296875
48,0.9765625,0.810546875,-0.302734375,0
49,1.0546875,0.8984375,-0.01953125,0.37109375
50,1.083984375,0.810546875,-0.048828125,0
51,1.005859375,1.025390625,-0.361328125,0.078125
52,1.103515625,0.849609375,0,0.3125
53,0.908203125,0.80078125,0.107421875,0.0390625
54,1.044921875,1.044921875,-0.068359375,0.009765625
55,0.99609375,0.8984375,0.01953125,-0.244140625
56,0.9375,0.791015625,-0.0390625,0.0390625
57,0.9765625,0.99609375,0.13671875,0.009765625
58,0.9375,0.859375,-0.01953125,-0.146484375
59,1.025390625,0.888671875,0,0.0390625
60,0.95703125,0.791015625,0.09765625,0.05859375
61,1.005859375,0.859375,-0.068359375,-0.185546875
62,0.95703125,0.859375,0.05859375,0.05859375
63,0.99609375,0.83984375,-0.146484375,0.09765625
64,1.015625,0.830078125,0,0.234375
65,0.986328125,0.869140625,0.0390625,0.01953125
66,1.025390625,0.859375,-0.078125,0.146484375
67,0.9765625,0.8203125,0.009765625,0.166015625
68,0.99609375,0.859375,-0.029296875,0.009765625
69,0.986328125,0.888671875,-0.1171875,-0.146484375
70,0.95703125,0.83984375,0,0
71,1.025390625,0.869140625,0.087890625,0.01953125
72,0.986328125,0.888671875,0.029296875,-0.126953125
73,0.9765625,0.87890625,-0.0390625,-0.05859375
74,1.083984375,0.888671875,-0.009765625,0.0390625
75,1.005859375,0.859375,0.09765625,0.107421875
76,1.005859375,0.849609375,0.01953125,-0.048828125
77,1.19140625,0.8984375,-0.166015625,0.048828125
78,0.95703125,0.8984375,-0.048828125,0.126953125
79,0.99609375,0.869140625,-0.0390625,0.01953125
80,1.103515625,0.849609375,-0.234375,-0.009765625
81,1.005859375,0.732421875,-0.009765625,0.126953125
82,1.03515625,0.83984375,-0.009765625,-0.048828125
83,1.03515625,0.830078125,0.107421875,0
84,0.99609375,0.810546875,0.01953125,-0.146484375
85,1.005859375,0.83984375,-0.01953125,0.029296875
86,0.908203125,0.83984375,0.1171875,0.029296875
87,0.966796875,0.8203125,0.048828125,-0.17578125
88,0.927734375,0.771484375,0.048828125,0.078125
89,0.966796875,0.87890625,0.185546875,0.0390625
90,1.025390625,0.95703125,-0.029296875,0.126953125
91,0.947265625,0.966796875,0.01953125,0.01953125
92,1.171875,0.859375,-0.126953125,0
93,0.8984375,0.91796875,-0.05859375,0.068359375
94,1.044921875,1.0546875,0.009765625,0.0390625
95,0.99609375,0.83984375,-0.146484375,-0.01953125
96,0.91796875,0.830078125,-0.01953125,0.09765625
97,1.064453125,1.103515625,-0.009765625,0.048828125
98,0.99609375,0.908203125,0.126953125,0.029296875
99,1.09375,0.87890625,-0.09765625,-0.048828125
100,1.005859375,0.732421875,0.048828125,0
101,0.986328125,0.927734375,0.05859375,0.078125
102,1.083984375,0.908203125,0.068359375,-0.029296875
103,0.99609375,0.703125,0.205078125,0
104,0.9765625,0.849609375,0.078125,0.029296875
105,1.142578125,0.9375,-0.0390625,-0.009765625
106,1.03515625,0.830078125,0.224609375,-0.029296875
107,1.025390625,0.849609375,0.068359375,0.029296875
108,1.025390625,0.986328125,-0.01953125,-0.009765625
109,1.03515625,0.908203125,0.1953125,0.048828125
110,0.9765625,0.83984375,0.029296875,0.087890625
111,0.986328125,0.849609375,-0.029296875,0.05859375
112,0.986328125,0.947265625,-0.234375,0.107421875
113,1.044921875,0.908203125,0.01953125,0.048828125
