[RESULT]
회차,상 승,상 승,상 승,상 승,하 강,하 강,하 강,하 강,     
회차,Torque (L),Kurtosis (L),Torque (R),Kurtosis (R),Torque (L),Kurtosis (L),Torque (R),Kurtosis (R),결 과
20,1.051,3.094,0.907,2.680,0.049,2.560,0.037,2.220,OK

[TQ_DATA]
No,L-UP,R-UP,L-DN,R-DN
1,0.654296875,0.419921875,0.009765625,0.09765625
2,0.6640625,0.419921875,-0.009765625,0.01953125
3,0.673828125,0.4296875,-0.126953125,0
4,0.615234375,0.400390625,-0.009765625,-0.1171875
5,0.615234375,0.41015625,-0.01953125,-0.009765625
6,0.6640625,0.6640625,0.146484375,0
7,0.673828125,0.4296875,-0.05859375,-0.09765625
8,0.64453125,0.46875,0,0.029296875
9,0.673828125,0.693359375,0.205078125,-0.029296875
10,0.712890625,0.439453125,-0.009765625,-0.078125
11,0.673828125,0.390625,-0.009765625,0.05859375
12,0.615234375,0.283203125,-0.13671875,0.009765625
13,0.712890625,0.48828125,-0.048828125,0.126953125
14,0.68359375,0.41015625,0.009765625,0
15,0.673828125,0.107421875,-0.068359375,-0.029296875
16,0.732421875,0.439453125,-0.009765625,0.1171875
17,0.64453125,0.44921875,-0.01953125,-0.048828125
18,0.703125,0.1953125,-0.078125,0.029296875
19,0.673828125,0.458984375,0.029296875,-0.05859375
20,0.44921875,0.458984375,0.087890625,-0.078125
21,0.654296875,0.78125,0.01953125,0.01953125
22,0.625,0.380859375,-0.029296875,-0.01953125
23,0.419921875,0.458984375,0.1171875,-0.029296875
24,0.615234375,0.78125,0.087890625,0.048828125
25,0.693359375,0.41015625,0.009765625,-0.0390625
26,0.439453125,0.380859375,-0.087890625,-0.01953125
27,0.60546875,0.166015625,0.029296875,-0.009765625
28,0.693359375,0.419921875,-0.01953125,0.078125
29,0.927734375,0.44921875,-0.078125,0.009765625
30,0.64453125,0.126953125,0.029296875,0.048828125
31,0.673828125,0.4296875,-0.068359375,0.048828125
32,0.966796875,0.3515625,0.15625,0.009765625
33,0.72265625,0.166015625,-0.048828125,0.107421875
34,0.654296875,0.4296875,-0.009765625,0.01953125
35,0.46875,0.44921875,0.234375,0.01953125
36,0.703125,0.556640625,0.009765625,0.1171875
37,0.7421875,0.5078125,-0.009765625,-0.0390625
38,0.478515625,0.400390625,0.21484375,-0.0390625
39,0.64453125,0.556640625,0.029296875,0.078125
40,0.634765625,0.380859375,0.009765625,-0.009765625
41,0.498046875,0.46875,-0.09765625,0.0390625
42,0.673828125,0.439453125,-0.029296875,0.078125
43,0.615234375,0.439453125,0.068359375,-0.0390625
44,0.76171875,0.439453125,-0.13671875,0
45,0.654296875,0.390625,0,-0.01953125
46,0.7421875,0.41015625,-0.0390625,0.0390625
47,0.83984375,0.390625,0.009765625,0.009765625
48,0.634765625,0.341796875,0.068359375,0.068359375
49,0.625,0.41015625,0.048828125,-0.029296875
50,0.703125,0.458984375,-0.029296875,0
51,0.6640625,0.439453125,0.0390625,0.01953125
52,0.654296875,0.419921875,0.244140625,-0.01953125
53,0.6640625,0.4296875,0.01953125,0.05859375
54,0.60546875,0.400390625,0.029296875,0.029296875
55,0.634765625,0.400390625,0.107421875,0
56,0.64453125,0.380859375,0.01953125,0
57,0.60546875,0.46875,-0.068359375,-0.0390625
58,0.654296875,0.390625,0.05859375,0.0390625
59,0.703125,0.439453125,0.009765625,0.01953125
60,0.654296875,0.439453125,-0.068359375,-0.0390625
61,0.68359375,0.41015625,0.05859375,0.01953125
62,0.673828125,0.439453125,0.107421875,0.009765625
63,0.673828125,0.48828125,-0.0390625,0.048828125
64,0.64453125,0.3515625,-0.126953125,0
65,0.6640625,0.390625,-0.05859375,-0.009765625
66,0.673828125,0.458984375,0.029296875,0.048828125
67,0.673828125,0.44921875,0.05859375,-0.1171875
68,0.732421875,0.478515625,-0.009765625,-0.009765625
69,0.654296875,0.478515625,0.01953125,0.0390625
70,0.634765625,0.439453125,0.166015625,0.01953125
71,0.703125,0.419921875,-0.05859375,-0.009765625
72,0.693359375,0.3515625,-0.05859375,-0.05859375
73,0.64453125,0.44921875,0.01953125,0.46875
74,0.712890625,0.41015625,-0.01953125,0.0390625
75,0.8203125,0.41015625,0.0390625,-0.009765625
76,0.693359375,0.3515625,-0.126953125,0.546875
77,0.703125,0.400390625,-0.009765625,0.029296875
78,0.693359375,0.419921875,0.087890625,-0.0390625
79,0.693359375,0.419921875,-0.107421875,-0.17578125
80,0.517578125,0.37109375,0.0390625,0
81,0.830078125,0.46875,-0.01953125,-0.0390625
82,0.732421875,0.712890625,0.1171875,-0.361328125
83,0.556640625,0.380859375,0.009765625,0
84,0.478515625,0.44921875,0.009765625,-0.0390625
85,0.64453125,0.751953125,0.078125,-0.33203125
86,0.64453125,0.419921875,-0.087890625,-0.01953125
87,0.498046875,0.390625,-0.107421875,0.0390625
88,0.654296875,0.673828125,0.029296875,0.2734375
89,0.68359375,0.46875,-0.0390625,-0.048828125
90,0.91796875,0.341796875,-0.0390625,0.01953125
91,0.634765625,0.048828125,0.126953125,0.1953125
92,0.771484375,0.4296875,-0.029296875,-0.01953125
93,0.986328125,0.400390625,-0.126953125,-0.009765625
94,0.6640625,0.068359375,-0.0390625,-0.146484375
95,0.703125,0.361328125,0,0.01953125
96,0.83984375,0.41015625,0.234375,-0.01953125
97,0.68359375,0.693359375,-0.009765625,-0.15625
98,0.634765625,0.33203125,0.048828125,0
99,0.380859375,0.4296875,0.2734375,-0.009765625
100,0.693359375,0.634765625,-0.0390625,-0.15625
101,0.673828125,0.41015625,-0.0390625,0.029296875
102,0.498046875,0.439453125,-0.166015625,0.029296875
103,0.693359375,0.595703125,0.029296875,0.09765625
104,0.60546875,0.400390625,0.029296875,0.01953125
105,0.72265625,0.4296875,-0.224609375,-0.009765625
106,0.673828125,0.244140625,-0.0390625,0.13671875
107,0.712890625,0.41015625,0.0390625,-0.0390625
108,0.7421875,0.41015625,-0.146484375,-0.01953125
109,0.64453125,0.25390625,0.01953125,-0.0390625
110,0.6640625,0.400390625,-0.1171875,-0.01953125
111,0.712890625,0.46875,0.107421875,0.048828125
