[RESULT]
회차,상 승,상 승,상 승,상 승,하 강,하 강,하 강,하 강,     
회차,Torque (L),Kurtosis (L),Torque (R),Kurtosis (R),Torque (L),Kurtosis (L),Torque (R),Kurtosis (R),결 과
1,0.948,2.182,0.935,2.254,0.016,14.126,-0.009,3.376,NG

[TQ_DATA]
No,L-UP,R-UP,L-DN,R-DN
1,0.4296875,0.458984375,0.009765625,-0.009765625
2,0.380859375,0.4296875,0,-0.009765625
3,0.400390625,0.37109375,0.009765625,0
4,0.41015625,0.419921875,0.048828125,-0.009765625
5,0.37109375,0.41015625,0.0390625,-0.068359375
6,0.44921875,0.322265625,0.1171875,0.009765625
7,0.37109375,0.37109375,0.009765625,-0.029296875
8,0.390625,0.390625,0.009765625,0
9,0.439453125,0.439453125,0.048828125,0.1171875
10,0.4296875,0.400390625,-0.09765625,-0.01953125
11,0.400390625,0.37109375,-0.01953125,0
12,0.615234375,0.478515625,-0.0390625,0.05859375
13,0.37109375,0.380859375,-0.126953125,-0.009765625
14,0.41015625,0.439453125,0.009765625,-0.048828125
15,0.48828125,0.244140625,-0.087890625,0.068359375
16,0.380859375,0.419921875,0.048828125,-0.009765625
17,0.390625,0.419921875,-0.009765625,-0.05859375
18,0.390625,0.244140625,-0.146484375,-0.146484375
19,0.37109375,0.322265625,0.01953125,-0.087890625
20,0.400390625,0.400390625,-0.01953125,-0.048828125
21,0.41015625,0.1171875,0.048828125,-0.09765625
22,0.5078125,0.341796875,0.029296875,0
23,0.615234375,0.361328125,-0.048828125,-0.009765625
24,0.37109375,0.341796875,0.078125,0.13671875
25,0.478515625,0.546875,0,-0.05859375
26,0.556640625,0.3515625,0.048828125,0.0390625
27,0.341796875,0.419921875,0,0.0390625
28,0.361328125,0.478515625,0.009765625,0.009765625
29,0.5859375,0.46875,-0.126953125,-0.05859375
30,0.37109375,0.595703125,-0.0390625,0.09765625
31,0.419921875,0.390625,0.009765625,-0.0390625
32,0.224609375,0.478515625,0.3125,-0.009765625
33,0.46875,0.517578125,-0.009765625,-0.1953125
34,0.380859375,0.234375,0.01953125,0.029296875
35,0.146484375,0.458984375,0.3125,0.009765625
36,0.41015625,0.56640625,0.05859375,-0.17578125
37,0.400390625,0.224609375,0.009765625,0.01953125
38,0.673828125,0.37109375,0.146484375,0.068359375
39,0.439453125,0.244140625,0.009765625,0.107421875
40,0.419921875,0.498046875,0.01953125,0.01953125
41,0.60546875,0.400390625,-0.1171875,-0.078125
42,0.361328125,0.224609375,0.009765625,0.0390625
43,0.380859375,0.56640625,-0.009765625,-0.087890625
44,0.537109375,0.400390625,-0.17578125,-0.029296875
45,0.25390625,0.537109375,0.09765625,0.0390625
46,0.341796875,0.498046875,0.01953125,0.01953125
47,0.2734375,0.37109375,0.087890625,0.029296875
48,0.439453125,0.46875,0.068359375,0
49,0.41015625,0.29296875,0,0.01953125
50,0.29296875,0.44921875,0.068359375,0
51,0.419921875,0.5078125,-0.009765625,-0.01953125
52,0.419921875,0.341796875,0.009765625,0.009765625
53,0.458984375,0.322265625,0.087890625,-0.01953125
54,0.439453125,0.390625,-0.0390625,0
55,0.419921875,0.4296875,-0.009765625,0.029296875
56,0.56640625,0.400390625,0.029296875,0.01953125
57,0.41015625,0.439453125,0.029296875,0.05859375
58,0.361328125,0.400390625,-0.01953125,0
59,0.5078125,0.419921875,0.01953125,0
60,0.458984375,0.33203125,-0.029296875,0.01953125
61,0.37109375,0.44921875,0.029296875,0.009765625
62,0.41015625,0.41015625,0,0.078125
63,0.390625,0.400390625,-0.078125,0.009765625
64,0.361328125,0.37109375,0,-0.068359375
65,0.380859375,0.33203125,0.01953125,-0.0390625
66,0.41015625,0.390625,-0.009765625,-0.029296875
67,0.44921875,0.400390625,0.078125,-0.0390625
68,0.380859375,0.419921875,-0.009765625,-0.146484375
69,0.390625,0.44921875,0.0390625,0.05859375
70,0.439453125,0.419921875,0.087890625,-0.068359375
71,0.33203125,0.439453125,0.009765625,-0.078125
72,0.4296875,0.400390625,0.087890625,-0.029296875
73,0.3515625,0.419921875,0.09765625,0
74,0.419921875,0.29296875,0,0.09765625
75,0.478515625,0.46875,0.1953125,0.029296875
76,0.380859375,0.390625,-0.09765625,-0.01953125
77,0.400390625,0.29296875,0.009765625,0.107421875
78,0.6640625,0.400390625,0.224609375,-0.029296875
79,0.400390625,0.400390625,-0.13671875,0.17578125
80,0.439453125,0.5078125,0.01953125,0.126953125
81,0.72265625,0.361328125,-0.17578125,-0.068359375
82,0.390625,0.380859375,0.13671875,0.185546875
83,0.439453125,0.5078125,0.01953125,-0.068359375
84,0.556640625,0.322265625,-0.1953125,0.009765625
85,0.576171875,0.52734375,0.13671875,0.1171875
86,0.44921875,0.556640625,-0.01953125,-0.1953125
87,0.37109375,0.390625,0.078125,0
88,0.380859375,0.52734375,0.078125,-0.068359375
89,0.390625,0.234375,-0.029296875,-0.009765625
90,0.3515625,0.400390625,0.009765625,0.009765625
91,0.419921875,0.498046875,-0.126953125,0.009765625
92,0.3515625,0.3515625,0.087890625,0.1171875
93,0.4296875,0.41015625,-0.029296875,0
94,0.52734375,0.458984375,-0.166015625,-0.126953125
95,0.341796875,0.390625,-0.01953125,0.05859375
96,0.498046875,0.400390625,0.107421875,-0.01953125
97,0.390625,0.46875,0.029296875,-0.068359375
98,0.458984375,0.4296875,0.0390625,0.029296875
99,0.44921875,0.390625,0.048828125,-0.068359375
100,0.341796875,0.419921875,0.048828125,-0.166015625
101,0.341796875,0.322265625,0.029296875,0.009765625
102,0.380859375,0.37109375,-0.0390625,-0.0390625
103,0.37109375,0.361328125,0.078125,0.146484375
104,0.478515625,0.439453125,0.0390625,-0.009765625
105,0.390625,0.390625,-0.1953125,-0.048828125
106,0.4296875,0.400390625,0.05859375,0.048828125
107,0.37109375,0.380859375,-0.0390625,0.05859375
108,0.37109375,0.41015625,-0.078125,0
109,0.400390625,0.439453125,-0.009765625,-0.068359375
110,0.41015625,0.400390625,0.068359375,0.009765625
111,0.390625,0.400390625,0.048828125,-0.029296875
112,0.439453125,0.52734375,-0.009765625,-0.078125
113,0.37109375,0.390625,0,0.029296875
114,0.44921875,0.37109375,0.009765625,0.009765625
115,0.390625,0.322265625,0,-0.05859375
116,0.439453125,0.361328125,0.01953125,0.01953125
117,0.400390625,0.390625,0.0390625,0.009765625
118,0.322265625,0.341796875,-0.01953125,0.0390625
119,0.4296875,0.37109375,-0.01953125,-0.029296875
120,0.400390625,0.361328125,0.01953125,-0.009765625
121,0.3515625,0.322265625,-0.01953125,-0.01953125
122,0.390625,0.33203125,0.107421875,-0.009765625
123,0.419921875,0.3515625,0.009765625,-0.068359375
124,0.458984375,0.390625,-0.009765625,0.009765625
125,0.4296875,0.390625,0.107421875,0
126,0.4296875,0.4296875,-0.05859375,0.009765625
127,0.41015625,0.419921875,0.05859375,0.078125
128,0.3515625,0.400390625,0.13671875,-0.048828125
129,0.478515625,0.4296875,-0.029296875,-0.078125
130,0.419921875,0.37109375,0.068359375,0.05859375
131,0.361328125,0.390625,0.01953125,-0.01953125
132,0.380859375,0.41015625,0.0390625,-0.029296875
133,0.439453125,0.44921875,0.029296875,0
134,0.322265625,0.703125,0,-0.1953125
135,0.439453125,0.400390625,0.048828125,-0.107421875
