[RESULT]
회차,상 승,상 승,상 승,상 승,하 강,하 강,하 강,하 강,     
회차,Torque (L),Kurtosis (L),Torque (R),Kurtosis (R),Torque (L),Kurtosis (L),Torque (R),Kurtosis (R),결 과
2,0.925,2.390,0.883,2.087,0.005,6.854,-0.067,2.377,OK

[TQ_DATA]
No,L-UP,R-UP,L-DN,R-DN
1,0.390625,0.634765625,0.078125,-0.068359375
2,0.4296875,0.595703125,-0.029296875,-0.21484375
3,0.380859375,0.634765625,-0.05859375,-0.009765625
4,0.341796875,0.64453125,0.078125,-0.029296875
5,0.498046875,0.654296875,0.009765625,-0.146484375
6,0.3515625,0.56640625,0.009765625,0.029296875
7,0.33203125,0.64453125,-0.05859375,-0.068359375
8,0.439453125,0.64453125,-0.048828125,0.01953125
9,0.37109375,0.6640625,0.0390625,-0.146484375
10,0.400390625,0.625,-0.048828125,-0.126953125
11,0.341796875,0.673828125,0.048828125,0.05859375
12,0.439453125,0.693359375,0,-0.13671875
13,0.361328125,0.673828125,-0.01953125,-0.107421875
14,0.302734375,0.693359375,-0.029296875,-0.166015625
15,0.400390625,0.673828125,0.029296875,-0.166015625
16,0.380859375,0.634765625,-0.009765625,-0.068359375
17,0.478515625,0.68359375,0.0390625,-0.107421875
18,0.41015625,0.634765625,0.01953125,-0.078125
19,0.3515625,0.634765625,0.029296875,-0.1171875
20,0.52734375,0.595703125,0.068359375,-0.15625
21,0.37109375,0.654296875,0.05859375,-0.087890625
22,0.37109375,0.634765625,0.0390625,-0.087890625
23,0.5859375,0.5859375,0.146484375,-0.146484375
24,0.380859375,0.78125,0.078125,-0.068359375
25,0.37109375,0.634765625,0.078125,-0.1171875
26,0.341796875,0.595703125,0.0390625,-0.107421875
27,0.37109375,0.76171875,0.029296875,-0.0390625
28,0.361328125,0.60546875,0.068359375,-0.087890625
29,0.21484375,0.64453125,0.029296875,-0.068359375
30,0.390625,0.703125,0.029296875,-0.068359375
31,0.361328125,0.615234375,0,-0.107421875
32,0.498046875,0.654296875,0.0390625,-0.05859375
33,0.419921875,0.64453125,0.068359375,-0.068359375
34,0.390625,0.64453125,0.01953125,-0.15625
35,0.390625,0.6640625,0.01953125,-0.078125
36,0.400390625,0.703125,0.048828125,-0.01953125
37,0.41015625,0.615234375,0.029296875,-0.205078125
38,0.5078125,0.654296875,0.05859375,-0.068359375
39,0.33203125,0.6640625,0.01953125,-0.09765625
40,0.439453125,0.732421875,0.029296875,-0.1171875
41,0.4296875,0.634765625,0.05859375,-0.13671875
42,0.46875,0.64453125,0.029296875,-0.17578125
43,0.41015625,0.546875,0.0390625,0.078125
44,0.419921875,0.64453125,0.01953125,-0.13671875
45,0.419921875,0.64453125,0.087890625,-0.0390625
46,0.341796875,0.732421875,0.087890625,0.048828125
47,0.37109375,0.60546875,-0.078125,-0.146484375
48,0.48828125,0.634765625,0.13671875,0.107421875
49,0.341796875,0.64453125,0.068359375,-0.146484375
50,0.361328125,0.5859375,-0.078125,-0.13671875
51,0.302734375,0.64453125,0.234375,0.087890625
52,0.3515625,0.72265625,-0.009765625,-0.166015625
53,0.390625,0.64453125,-0.1171875,-0.029296875
54,0.21484375,0.615234375,0.087890625,-0.21484375
55,0.400390625,0.72265625,0.009765625,-0.107421875
56,0.361328125,0.673828125,0.17578125,-0.0390625
57,0.498046875,0.625,-0.009765625,-0.21484375
58,0.380859375,0.576171875,0.0390625,-0.078125
59,0.341796875,0.673828125,0.068359375,-0.1171875
60,0.439453125,0.615234375,0,-0.263671875
61,0.380859375,0.556640625,0,-0.009765625
62,0.41015625,0.6640625,-0.009765625,-0.087890625
63,0.498046875,0.68359375,-0.009765625,-0.1171875
64,0.400390625,0.673828125,0.068359375,-0.126953125
65,0.390625,0.703125,0.029296875,-0.09765625
66,0.33203125,0.693359375,0.0390625,-0.05859375
67,0.4296875,0.703125,0.048828125,-0.087890625
68,0.400390625,0.634765625,0,-0.09765625
69,0.33203125,0.625,-0.009765625,-0.029296875
70,0.3515625,0.732421875,0.009765625,-0.09765625
71,0.33203125,0.634765625,-0.01953125,-0.09765625
72,0.439453125,0.625,0.078125,-0.09765625
73,0.44921875,0.849609375,0.05859375,-0.05859375
74,0.37109375,0.634765625,-0.01953125,-0.078125
75,0.400390625,0.625,0.09765625,-0.0390625
76,0.37109375,0.91796875,-0.048828125,-0.048828125
77,0.400390625,0.634765625,0.068359375,-0.01953125
78,0.322265625,0.60546875,0.107421875,-0.0390625
79,0.37109375,0.458984375,0.078125,-0.126953125
80,0.390625,0.64453125,0.0390625,-0.1171875
81,0.517578125,0.634765625,0.0390625,-0.107421875
82,0.4296875,0.478515625,0.0390625,-0.13671875
83,0.390625,0.634765625,0.05859375,-0.068359375
84,0.458984375,0.68359375,-0.0390625,-0.107421875
85,0.37109375,0.41015625,0.029296875,-0.048828125
86,0.3515625,0.537109375,0.01953125,-0.09765625
87,0.390625,0.64453125,0.01953125,-0.087890625
88,0.3515625,0.78125,0.068359375,-0.0390625
89,0.361328125,0.5859375,0.01953125,-0.0390625
90,0.361328125,0.654296875,0.05859375,-0.087890625
91,0.390625,0.7421875,0.126953125,-0.048828125
92,0.322265625,0.615234375,-0.05859375,-0.107421875
93,0.263671875,0.634765625,0.029296875,-0.09765625
94,0.400390625,0.546875,0.185546875,-0.1171875
95,0.341796875,0.673828125,-0.009765625,-0.107421875
96,0.478515625,0.60546875,-0.05859375,-0.107421875
97,0.4296875,0.546875,0.029296875,-0.1171875
98,0.439453125,0.68359375,-0.0390625,-0.185546875
99,0.439453125,0.60546875,0.068359375,-0.087890625
100,0.400390625,0.546875,0.05859375,-0.087890625
101,0.419921875,0.6640625,0.05859375,-0.205078125
102,0.283203125,0.625,0.078125,-0.126953125
103,0.3515625,0.7421875,0.078125,-0.15625
104,0.400390625,0.5859375,0.0390625,0.05859375
105,0.361328125,0.625,0.166015625,-0.126953125
106,0.37109375,0.732421875,-0.107421875,-0.126953125
107,0.46875,0.576171875,0.01953125,-0.01953125
108,0.44921875,0.673828125,0.146484375,-0.05859375
109,0.3515625,0.703125,-0.126953125,0.126953125
110,0.390625,0.60546875,-0.009765625,0.01953125
111,0.478515625,0.673828125,-0.126953125,-0.107421875
112,0.341796875,0.615234375,0.166015625,0.078125
113,0.37109375,0.72265625,0.0390625,-0.244140625
114,0.44921875,0.615234375,-0.1953125,-0.048828125
115,0.283203125,0.673828125,0.17578125,0.13671875
116,0.380859375,0.693359375,0.029296875,-0.283203125
117,0.37109375,0.64453125,0.15625,-0.048828125
118,0.263671875,0.6640625,0.126953125,-0.29296875
119,0.3515625,0.546875,0.009765625,0.048828125
120,0.341796875,0.703125,0.17578125,0.0390625
121,0.517578125,0.673828125,-0.068359375,-0.29296875
122,0.41015625,0.537109375,-0.01953125,0.0390625
123,0.390625,0.5859375,0.234375,-0.146484375
124,0.46875,0.625,-0.048828125,0.078125
125,0.37109375,0.556640625,0.029296875,0
126,0.380859375,0.654296875,0.009765625,-0.09765625
127,0.283203125,0.625,0.048828125,-0.029296875
128,0.419921875,0.615234375,0,-0.15625
129,0.41015625,0.693359375,-0.048828125,-0.087890625
130,0.2734375,0.673828125,0.078125,0.087890625
131,0.37109375,0.703125,-0.009765625,-0.15625
132,0.380859375,0.498046875,-0.05859375,-0.107421875
133,0.322265625,0.64453125,0.048828125,-0.107421875
134,0.390625,0.595703125,0.0390625,-0.126953125
135,0.33203125,0.654296875,0,-0.1171875
136,0.5859375,0.654296875,0.01953125,-0.05859375
137,0.361328125,0.634765625,0,-0.078125
138,0.3515625,0.712890625,0.029296875,-0.048828125
139,0.537109375,0.595703125,0.048828125,-0.146484375
140,0.380859375,0.634765625,-0.048828125,-0.029296875
