[RESULT]
회차,상 승,상 승,상 승,상 승,하 강,하 강,하 강,하 강,     
회차,Torque (L),Kurtosis (L),Torque (R),Kurtosis (R),Torque (L),Kurtosis (L),Torque (R),Kurtosis (R),결 과
1,1.066,2.204,0.894,4.587,-0.022,10.077,-0.080,2.491,NG

[TQ_DATA]
No,L-UP,R-UP,L-DN,R-DN
1,0.078125,0.01953125,-0.048828125,-0.087890625
2,0.048828125,0.517578125,-0.05859375,-0.0390625
3,0.0390625,-0.048828125,0.009765625,0.2734375
4,0.05859375,-0.029296875,0,-0.087890625
5,0.048828125,0.4296875,-0.107421875,-0.01953125
6,0.0390625,-0.029296875,-0.01953125,0.1953125
7,0.068359375,0.029296875,0.107421875,-0.087890625
8,0,0.302734375,-0.107421875,-0.13671875
9,0.166015625,-0.048828125,-0.05859375,-0.15625
10,0.048828125,-0.107421875,0.068359375,-0.09765625
11,0.029296875,-0.2734375,0.107421875,-0.078125
12,0.107421875,0.048828125,-0.048828125,-0.107421875
13,0.0390625,0,0.078125,-0.13671875
14,0.087890625,-0.283203125,0.087890625,-0.048828125
15,0.048828125,-0.009765625,0.009765625,-0.048828125
16,0.13671875,0.087890625,-0.05859375,-0.1171875
17,0.09765625,0.068359375,-0.25390625,-0.068359375
18,0.05859375,0.0390625,0.029296875,0.17578125
19,0.05859375,0.078125,-0.05859375,-0.0390625
20,0.048828125,0.009765625,-0.263671875,-0.126953125
21,0.078125,-0.17578125,0.0390625,0.17578125
22,0.009765625,-0.009765625,-0.009765625,-0.087890625
23,0.05859375,0.0390625,-0.25390625,-0.107421875
24,0.029296875,-0.17578125,0.009765625,-0.400390625
25,0.087890625,0.068359375,-0.029296875,-0.1171875
26,0.048828125,-0.13671875,0.3125,-0.107421875
27,0.078125,0.234375,0.029296875,-0.3515625
28,0.224609375,0.009765625,0.029296875,-0.078125
29,0.048828125,-0.15625,0.29296875,-0.13671875
30,0.078125,0.205078125,0.09765625,-0.3515625
31,0.185546875,0.009765625,0.048828125,-0.048828125
32,-0.01953125,0.087890625,-0.1171875,-0.1171875
33,0.126953125,0.17578125,0.01953125,0.05859375
34,-0.05859375,-0.048828125,0.0390625,-0.146484375
35,0.224609375,0.1171875,-0.185546875,-0.078125
36,0.09765625,-0.126953125,0.0390625,0.029296875
37,-0.146484375,0.05859375,0,-0.087890625
38,0.078125,0.17578125,-0.1171875,-0.0390625
39,0.048828125,-0.078125,0.029296875,-0.1953125
