[RESULT]
회차,상 승,상 승,상 승,상 승,하 강,하 강,하 강,하 강,     
회차,Torque (L),Kurtosis (L),Torque (R),Kurtosis (R),Torque (L),Kurtosis (L),Torque (R),Kurtosis (R),결 과
1,1.093,2.038,1.048,2.879,-0.044,3.188,-0.104,1.947,OK

[TQ_DATA]
No,L-UP,R-UP,L-DN,R-DN
1,0.29296875,0,-0.146484375,-0.078125
2,0.17578125,-0.15625,0.029296875,-0.087890625
3,0.21484375,0.1953125,-0.05859375,-0.166015625
4,0.283203125,0.048828125,0.009765625,-0.068359375
5,0.21484375,-0.1171875,-0.05859375,-0.13671875
6,0.1953125,0.244140625,-0.01953125,-0.1171875
7,0.3125,0.087890625,0.068359375,-0.05859375
8,0.107421875,0.068359375,-0.01953125,-0.05859375
9,0.21484375,0.205078125,-0.009765625,0.01953125
10,0.09765625,0,0.0390625,-0.078125
11,0.263671875,0.17578125,0.029296875,-0.068359375
12,0.146484375,-0.029296875,-0.048828125,0.009765625
13,0.0390625,0.1171875,-0.009765625,-0.15625
14,0.263671875,0.224609375,-0.029296875,-0.048828125
15,0.15625,-0.0390625,-0.048828125,-0.068359375
16,0.126953125,0.009765625,-0.029296875,-0.0390625
17,0.283203125,-0.05859375,-0.048828125,-0.0390625
18,0.185546875,0.078125,-0.009765625,-0.05859375
19,0.146484375,0.087890625,0.009765625,-0.107421875
20,0.01953125,0.0390625,-0.0390625,-0.029296875
21,0.185546875,0.048828125,-0.009765625,-0.087890625
22,0.09765625,0.09765625,0.009765625,-0.068359375
23,0.107421875,0.01953125,-0.009765625,-0.029296875
24,0.185546875,0.107421875,-0.048828125,-0.068359375
25,0.17578125,0.0390625,0.029296875,-0.029296875
26,0.17578125,0.0390625,0.01953125,-0.0390625
27,0.205078125,0.048828125,-0.009765625,-0.380859375
28,0.205078125,0.01953125,-0.15625,-0.0390625
29,0.13671875,0.029296875,-0.05859375,-0.048828125
30,0.15625,0.078125,-0.009765625,-0.234375
31,0.244140625,0.0390625,-0.0390625,-0.048828125
32,0.17578125,0.13671875,-0.009765625,-0.107421875
33,0.283203125,0,-0.048828125,-0.205078125
34,0.078125,0.09765625,0,-0.126953125
35,0.13671875,0.107421875,0.21484375,-0.087890625
36,0.087890625,0.0390625,-0.048828125,-0.01953125
37,0.166015625,0.087890625,-0.029296875,-0.0390625
38,0.224609375,0.048828125,0.25390625,-0.087890625
39,0.185546875,0.029296875,-0.087890625,-0.01953125
40,0.17578125,0.01953125,-0.048828125,-0.029296875
41,0.126953125,0.05859375,0.21484375,-0.0390625
42,0.13671875,-0.126953125,-0.146484375,0.078125
43,0.068359375,0.0390625,-0.0390625,-0.05859375
44,0.1171875,0.0390625,-0.33203125,-0.05859375
45,0.146484375,-0.087890625,0.17578125,0.009765625
46,0.205078125,0.048828125,-0.068359375,-0.009765625
47,0.13671875,0.029296875,-0.2734375,-0.05859375
48,0.09765625,0.107421875,0.17578125,-0.009765625
49,0.1171875,0.048828125,-0.029296875,-0.146484375
50,0.25390625,0.0390625,0.0390625,-0.09765625
51,0.224609375,0.126953125,-0.05859375,-0.09765625
52,0.17578125,0.029296875,0.05859375,0.078125
53,0.322265625,0.09765625,0.13671875,-0.01953125
54,0.185546875,0.126953125,-0.107421875,-0.078125
55,0.01953125,0.0390625,0.01953125,0.048828125
56,-0.029296875,0.107421875,0,-0.05859375
57,0.33203125,0.087890625,0.087890625,-0.01953125
58,0.146484375,-0.05859375,-0.009765625,0.09765625
59,0.0390625,0.078125,-0.234375,-0.068359375
60,0.078125,0.05859375,0.087890625,0
61,0.166015625,0.01953125,-0.0390625,-0.205078125
62,0.048828125,0.029296875,-0.1953125,-0.078125
63,0.15625,0,0.01953125,0
64,0.13671875,-0.048828125,-0.029296875,-0.17578125
65,0.322265625,0.009765625,-0.01953125,-0.068359375
66,0.09765625,-0.01953125,0.1171875,-0.126953125
67,0.087890625,0.13671875,0.029296875,0.126953125
68,0.302734375,0.068359375,0.13671875,-0.0390625
69,0.009765625,-0.01953125,-0.068359375,-0.107421875
70,0.13671875,0.21484375,0,0.048828125
71,-0.01953125,0.107421875,0.048828125,-0.048828125
72,0.068359375,0.09765625,-0.1171875,-0.048828125
73,0.048828125,-0.0390625,-0.05859375,0.13671875
74,0.01953125,-0.01953125,-0.068359375,-0.048828125
75,0.185546875,0.09765625,0.078125,-0.068359375
76,0.21484375,-0.087890625,0.009765625,-0.107421875
77,0.068359375,0.068359375,-0.078125,-0.068359375
78,0.244140625,0.05859375,-0.029296875,-0.107421875
79,0.146484375,-0.0390625,0.0390625,-0.05859375
80,0.21484375,0.107421875,-0.0390625,-0.09765625
81,0.05859375,0.068359375,-0.009765625,-0.05859375
82,0.15625,0.146484375,-0.01953125,-0.048828125
83,0.244140625,0.029296875,-0.01953125,-0.068359375
84,0.068359375,0.0390625,0.009765625,-0.0390625
85,0.146484375,0.09765625,-0.05859375,-0.048828125
86,0.166015625,0,-0.048828125,-0.09765625
87,0.107421875,0.009765625,0.048828125,-0.087890625
88,0.17578125,-0.029296875,-0.0390625,-0.05859375
89,0.1171875,0.05859375,0.0390625,-0.0390625
90,0.1953125,0.0390625,-0.009765625,-0.048828125
91,0.21484375,0.0390625,-0.009765625,0.009765625
92,0.126953125,0.078125,-0.05859375,-0.05859375
93,0.13671875,0.05859375,0.1171875,-0.126953125
94,0.126953125,0.029296875,-0.048828125,0
95,0.166015625,0.029296875,-0.068359375,-0.0390625
96,0.15625,0.009765625,0.048828125,-0.107421875
97,0.146484375,0.01953125,-0.01953125,-0.146484375
98,0.146484375,0,0.01953125,-0.068359375
99,0.146484375,0.068359375,-0.1171875,-0.068359375
100,0.146484375,0.087890625,-0.048828125,-0.1953125
101,0.15625,0.087890625,0,-0.126953125
102,0.126953125,0.029296875,-0.078125,-0.0390625
103,0.166015625,0.01953125,0.01953125,-0.2734375
104,0.126953125,0.0390625,-0.09765625,-0.15625
105,0.283203125,0.048828125,0.13671875,-0.048828125
106,0.185546875,0.068359375,-0.087890625,-0.107421875
107,0.166015625,-0.009765625,-0.09765625,0.0390625
108,0.234375,0.05859375,0.087890625,0
109,0.15625,0.05859375,-0.21484375,-0.087890625
110,0.185546875,0.029296875,0.048828125,-0.15625
111,-0.009765625,0.01953125,0.205078125,-0.087890625
112,0.15625,0.21484375,-0.146484375,0.01953125
113,0.3515625,-0.09765625,0.009765625,-0.09765625
114,-0.05859375,0.068359375,-0.146484375,-0.048828125
115,0.15625,0.2734375,-0.029296875,0.078125
116,0.205078125,-0.068359375,0.009765625,-0.107421875
117,-0.009765625,0.107421875,-0.107421875,-0.13671875
118,0.15625,0.01953125,-0.068359375,0.009765625
119,0.107421875,-0.068359375,-0.0390625,-0.13671875
120,0.185546875,0.068359375,-0.0390625,-0.05859375
121,-0.01953125,0.0390625,0.009765625,-0.107421875
122,0.107421875,0.244140625,-0.078125,-0.1171875
123,0.263671875,0.078125,-0.126953125,-0.087890625
124,-0.048828125,-0.068359375,0.068359375,-0.107421875
125,0.234375,0.25390625,-0.01953125,-0.15625
126,0.068359375,0.068359375,-0.009765625,-0.068359375
127,-0.0390625,0.048828125,0.15625,-0.205078125
128,0.17578125,-0.01953125,-0.048828125,-0.029296875
129,0.13671875,0.029296875,0.009765625,-0.05859375
130,0.166015625,0.0390625,-0.107421875,-0.078125
131,0.205078125,-0.009765625,-0.0390625,-0.009765625
